symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
F	FORD MOTOR CO	345370860	2615468	8.027569872874073e-4	-	45467245	USD
IDXX	IDEXX LABORATORIES INC	45168D104	2459202	7.957320574684902e-4	-	925633	USD
COHR	COHERENT CORP	19247G107	BNG8Z81	7.923585036006487e-4	-	2174105	USD
BDX	BECTON DICKINSON AND CO	075887109	2087807	7.923088925143569e-4	-	3293678	USD
CVNA	CARVANA CO	146869102	BYQHPG3	7.914158929611046e-4	-	1645393	USD
RSG	REPUBLIC SERVICES INC	760759100	2262530	7.844306520112211e-4	-	2340960	USD
CARR	CARRIER GLOBAL CORP	14448C104	BK4N0D7	7.830415415950511e-4	-	9089120	USD
YUM	YUM  BRANDS INC	988498101	2098876	7.677216381481471e-4	-	3227394	USD
DAL	DELTA AIR LINES INC	247361702	B1W9D46	7.672552939370044e-4	-	7543469	USD
PSA	PUBLIC STORAGE	74460D109	2852533	7.611531303231146e-4	-	1836603	USD
WAB	WABTEC CORP	929740108	2955733	7.58196309580124e-4	-	1982992	USD
KR	KROGER CO	501044101	2497406	7.455057937066848e-4	-	6734004	USD
FITB	FIFTH THIRD BANCORP	316773100	2336747	7.427176506570865e-4	-	10448799	USD
CMG	CHIPOTLE MEXICAN GRILL INC	169656105	B0X7DZ3	7.37736697593391e-4	-	15063778	USD
PYPL	PAYPAL HOLDINGS INC	70450Y103	BYW36M8	7.367543980848136e-4	-	10646775	USD
EBAY	EBAY INC	278642103	2293819	7.322794781012945e-4	-	5258480	USD
ED	CONSOLIDATED EDISON INC	209115104	2216850	7.262566922254715e-4	-	4194104	USD
ROK	ROCKWELL AUTOMATION INC	773903109	2754060	7.180907074218434e-4	-	1307825	USD
AMP	AMERIPRISE FINANCIAL INC	03076C106	B0J7D57	7.178128853386094e-4	-	1055743	USD
PEG	PUBLIC SERVICE ENTERPRISE GP	744573106	2707677	7.174259188655333e-4	-	5792688	USD
AIG	AMERICAN INTERNATIONAL GROUP	026874784	2027342	7.143103426464092e-4	-	6204467	USD
EQT	EQT CORP	26884L109	2319414	7.062931911016563e-4	-	7253969	USD
MSCI	MSCI INC	55354G100	B2972D2	7.007565938714929e-4	-	849745	USD
CBRE	CBRE GROUP INC   A	12504L109	B6WVMH3	6.96291596105232e-4	-	3359693	USD
DDOG	DATADOG INC   CLASS A	23804L103	BKT9Y49	6.893559662416402e-4	-	3816789	USD
COIN	COINBASE GLOBAL INC  CLASS A	19260Q107	BMC9P69	6.892567440690567e-4	-	2580082	USD
VTR	VENTAS INC	92276F100	2927925	6.891475996792148e-4	-	5507865	USD
MET	METLIFE INC	59156R108	2573209	6.885919555127467e-4	-	6364197	USD
PCG	P G + E CORP	69331C108	2689560	6.868754119270508e-4	-	25551962	USD
NUE	NUCOR CORP	670346105	2651086	6.861709345017074e-4	-	2652223	USD
